model,CV_Mean,CV_Std,Val_Accuracy,Test_Accuracy,Val_F1,Test_F1,Val_Precision,Test_Precision,Val_Recall,Test_Recall,CV_Scores,Predictions
XGBoost,0.9001807569003905,0.001215796099277311,0.8889223359422035,0.9017341040462428,0.8890883784698919,0.9012269132195563,0.8894530300099226,0.9015177988287401,0.8889223359422035,0.9017341040462428,[0.90063982 0.90139255 0.89913436 0.89838163 0.90135542],[1 1 3 ... 0 1 6]
Random Forest,0.8937819116133333,0.0036154886194906784,0.8807947019867549,0.8966763005780347,0.881079084859732,0.8963015683087431,0.8816806445993298,0.8962941309718765,0.8807947019867549,0.8966763005780347,[0.89838163 0.8976289  0.89085435 0.88934889 0.89269578],[1 1 3 ... 0 0 6]
Polynomial Regression (deg=3),0.8675092730727199,0.0068968812294703755,0.8576158940397351,0.8766859344894027,0.8577796399860338,0.8761425168735373,0.8582295298462684,0.8759689490589059,0.8576158940397351,0.8766859344894027,[0.87993978 0.86714339 0.86827249 0.86149793 0.86069277],[1 1 3 ... 0 0 6]
Logistic Regression,0.8558415540218836,0.0012436734322723143,0.845574954846478,0.8583815028901735,0.8451482749490485,0.8571608822783086,0.8460775107482476,0.8573541532480119,0.845574954846478,0.8583815028901735,[0.85585247 0.85735792 0.85698156 0.85397064 0.85504518],[1 1 3 ... 0 0 6]
